"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b[31] Castleton Corners",-0.262522016786286,-0.261632,-0.265206349300547,970995.2,0.95,-0.706238,0.176011,NA,NA,NA,NA,NA,NA,NA
"b[32] Chelsea",0.805568134854921,0.805597,0.805984917177804,818684.1,0.95,0.740164,0.872082,NA,NA,NA,NA,NA,NA,NA
"b[33] Chinatown",0.421406339728282,0.421359,0.423041651485481,940044.1,0.95,0.334674,0.509683,NA,NA,NA,NA,NA,NA,NA
"b[34] City Island",-0.06370649059085,-0.0616799,-0.0553167707581325,1000008,0.95,-0.390393,0.258062,NA,NA,NA,NA,NA,NA,NA
"b[35] Civic Center",0.426313449677502,0.4256785,0.424707144515807,1000008,0.95,0.182115,0.67221,NA,NA,NA,NA,NA,NA,NA
"b[36] Claremont Village",-0.287272922486278,-0.2875655,-0.288617682186696,1000008,0.95,-0.548039,-0.0247619,NA,NA,NA,NA,NA,NA,NA
"b[37] Clason Point",-0.113458541806049,-0.112132,-0.100653539154864,1000008,0.95,-0.345818,0.115437,NA,NA,NA,NA,NA,NA,NA
"b[38] Clifton",-0.28661277356563,-0.288833,-0.309161246829161,1000008,0.95,-0.601754,0.0346763,NA,NA,NA,NA,NA,NA,NA
"b[39] Clinton Hill",0.27982162376101,0.279904,0.28064132722547,870778.9,0.95,0.208838,0.351006,NA,NA,NA,NA,NA,NA,NA
"b[40] Cobble Hill",0.473879623237414,0.474511,0.475204125197883,980078.2,0.95,0.323434,0.621311,NA,NA,NA,NA,NA,NA,NA
"b[41] College Point",-0.119997415756271,-0.1210565,-0.128868356334225,1000008,0.95,-0.394157,0.160099,NA,NA,NA,NA,NA,NA,NA
"b[42] Columbia St",0.275504050586764,0.276243,0.28555915731466,1000008,0.95,0.0724383,0.480648,NA,NA,NA,NA,NA,NA,NA
"b[43] Concord",0.0039920827257737,0.005011145,-0.00288104137828826,992411.4,0.95,-0.348606,0.350704,NA,NA,NA,NA,NA,NA,NA
"b[44] Concourse",-0.217054155071306,-0.217098,-0.215188403071285,995809.2,0.95,-0.401424,-0.030164,NA,NA,NA,NA,NA,NA,NA
"b[45] Concourse Village",-0.218578631682259,-0.217541,-0.214855875222043,1008117,0.95,-0.485809,0.0434965,NA,NA,NA,NA,NA,NA,NA
"b[46] Coney Island",0.235489667237699,0.237669,0.232249792873267,1000008,0.95,-0.0709388,0.542567,NA,NA,NA,NA,NA,NA,NA
"b[47] Corona",-0.399285254726266,-0.401049,-0.40579675786843,1000008,0.95,-0.630729,-0.166338,NA,NA,NA,NA,NA,NA,NA
"b[48] Crown Heights",-0.0162385427966616,-0.0162448,-0.0168190556763177,674576.8,0.95,-0.0633181,0.0306743,NA,NA,NA,NA,NA,NA,NA
"b[49] Cypress Hills",-0.349536056185151,-0.3502245,-0.347519524499762,1000008,0.95,-0.481549,-0.216469,NA,NA,NA,NA,NA,NA,NA
"b[50] Ditmars Steinway",-0.0486901484687137,-0.0486596,-0.0479434593931901,932405.3,0.95,-0.141586,0.0451215,NA,NA,NA,NA,NA,NA,NA
"b[51] Douglaston",0.0332319913359457,0.036417,0.036252235798355,1000008,0.95,-0.418984,0.480765,NA,NA,NA,NA,NA,NA,NA
"b[52] Downtown Brooklyn",0.320063621577895,0.32113,0.326347326402863,995892.7,0.95,0.140109,0.500294,NA,NA,NA,NA,NA,NA,NA
"b[53] DUMBO",0.289946115129642,0.290539,0.29911737986559,1000008,0.95,0.0821676,0.495429,NA,NA,NA,NA,NA,NA,NA
"b[54] Dyker Heights",-0.050682967517982,-0.0520527,-0.0498912878409018,1000008,0.95,-0.414952,0.323436,NA,NA,NA,NA,NA,NA,NA
"b[55] East Elmhurst",-0.234382430664082,-0.23467,-0.238246719185484,992775.7,0.95,-0.34873,-0.120899,NA,NA,NA,NA,NA,NA,NA
"b[56] East Flatbush",-0.202848560671215,-0.202825,-0.202788265715334,854569.8,0.95,-0.278327,-0.12526,NA,NA,NA,NA,NA,NA,NA
"b[57] East Harlem",0.154793406435179,0.15478,0.155119469206223,738900.2,0.95,0.0969188,0.212421,NA,NA,NA,NA,NA,NA,NA
"b[58] East New York",-0.249379795559749,-0.2494545,-0.246619135694891,1000008,0.95,-0.354286,-0.142816,NA,NA,NA,NA,NA,NA,NA
"b[59] East Village",0.52339570506436,0.5233855,0.524505166514061,651243.2,0.95,0.476943,0.570112,NA,NA,NA,NA,NA,NA,NA
