"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[161] Rosedale",0.400005768624851,0.397726,0.396672818284065,983329.8,0.95,0.312293,0.49171,NA,NA,NA,NA,NA,NA,NA
"ySigma[162] Schuylerville",0.414174782431741,0.411673,0.407313804935227,988766.4,0.95,0.305312,0.526643,NA,NA,NA,NA,NA,NA,NA
"ySigma[163] Sea Gate",0.468116266141871,0.464396,0.452346098019993,954539.4,0.95,0.349384,0.592626,NA,NA,NA,NA,NA,NA,NA
"ySigma[164] Sheepshead Bay",0.42462576497888,0.422827,0.417033281448269,998708.4,0.95,0.353053,0.498386,NA,NA,NA,NA,NA,NA,NA
"ySigma[165] Shore Acres",0.406054011012912,0.403837,0.398572624544842,990535.7,0.95,0.292298,0.521559,NA,NA,NA,NA,NA,NA,NA
"ySigma[166] Silver Lake",0.419469032202742,0.416835,0.409894412757106,998728.9,0.95,0.304754,0.537532,NA,NA,NA,NA,NA,NA,NA
"ySigma[167] SoHo",0.526964353892169,0.525358,0.521477707186976,955209.4,0.95,0.457013,0.598406,NA,NA,NA,NA,NA,NA,NA
"ySigma[168] Soundview",0.395629240116079,0.39353,0.390778837288247,978979.9,0.95,0.285301,0.511613,NA,NA,NA,NA,NA,NA,NA
"ySigma[169] South Beach",0.419503507581939,0.416931,0.411758021209322,993427.8,0.95,0.30408,0.536681,NA,NA,NA,NA,NA,NA,NA
"ySigma[170] South Ozone Park",0.371205428897569,0.369271,0.362174884710639,948899,0.95,0.272937,0.472903,NA,NA,NA,NA,NA,NA,NA
"ySigma[171] South Slope",0.375665348575211,0.374549,0.371286265703204,983821.3,0.95,0.324813,0.42913,NA,NA,NA,NA,NA,NA,NA
"ySigma[172] Springfield Gardens",0.372980820760434,0.3712075,0.365855626340049,967613,0.95,0.298835,0.44971,NA,NA,NA,NA,NA,NA,NA
"ySigma[173] Spuyten Duyvil",0.414420504406965,0.411893,0.411320109441982,990460,0.95,0.301468,0.528928,NA,NA,NA,NA,NA,NA,NA
"ySigma[174] St. Albans",0.395263190297478,0.3934,0.389883076593535,993656.7,0.95,0.317261,0.474573,NA,NA,NA,NA,NA,NA,NA
"ySigma[175] St. George",0.373975794784642,0.371973,0.363907512793052,953893,0.95,0.275897,0.475079,NA,NA,NA,NA,NA,NA,NA
"ySigma[176] Stapleton",0.4166849374455,0.414115,0.412735854890103,991435.7,0.95,0.306785,0.530225,NA,NA,NA,NA,NA,NA,NA
"ySigma[177] Stuyvesant Town",0.459423169808642,0.456412,0.448990445763373,960072,0.95,0.359488,0.564893,NA,NA,NA,NA,NA,NA,NA
"ySigma[178] Sunnyside",0.535150927624579,0.533367,0.532121860675163,921578.4,0.95,0.459726,0.613973,NA,NA,NA,NA,NA,NA,NA
"ySigma[179] Sunset Park",0.430187841816265,0.429006,0.424760168534911,990936.9,0.95,0.375416,0.487465,NA,NA,NA,NA,NA,NA,NA
"ySigma[180] Theater District",0.465747808302534,0.464077,0.461902441338277,986879.5,0.95,0.399018,0.536152,NA,NA,NA,NA,NA,NA,NA
"ySigma[181] Throgs Neck",0.422093695118439,0.419408,0.413644439561167,991747.8,0.95,0.313033,0.535343,NA,NA,NA,NA,NA,NA,NA
"ySigma[182] Todt Hill",0.422613419845641,0.419917,0.411118828031861,993830.9,0.95,0.308431,0.541539,NA,NA,NA,NA,NA,NA,NA
"ySigma[183] Tompkinsville",0.425008268881849,0.4222225,0.413905699852619,994812,0.95,0.312654,0.541198,NA,NA,NA,NA,NA,NA,NA
"ySigma[184] Tottenville",0.41964242247962,0.417056,0.41311165387012,994468.8,0.95,0.305595,0.538477,NA,NA,NA,NA,NA,NA,NA
"ySigma[185] Tremont",0.449295198576411,0.446297,0.44221574821846,985225.1,0.95,0.341878,0.562854,NA,NA,NA,NA,NA,NA,NA
