"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[55] East Elmhurst",0.361166915936672,0.359478,0.357548701371867,963281.8,0.95,0.291256,0.435054,NA,NA,NA,NA,NA,NA,NA
"ySigma[56] East Flatbush",0.403283100879193,0.402342,0.399976252362393,994008.8,0.95,0.354268,0.453594,NA,NA,NA,NA,NA,NA,NA
"ySigma[57] East Harlem",0.44569007996036,0.445166,0.444536515922087,992421.8,0.95,0.409074,0.483724,NA,NA,NA,NA,NA,NA,NA
"ySigma[58] East New York",0.400138105717154,0.398676,0.397400030664906,994069.8,0.95,0.337602,0.465095,NA,NA,NA,NA,NA,NA,NA
"ySigma[59] East Village",0.431143452855377,0.43082,0.42916642930474,993151.7,0.95,0.402429,0.460232,NA,NA,NA,NA,NA,NA,NA
"ySigma[60] Eastchester",0.401112054498564,0.398949,0.393237822728318,982270.3,0.95,0.289658,0.514541,NA,NA,NA,NA,NA,NA,NA
"ySigma[61] Edenwald",0.387960670214638,0.385999,0.383486399705966,972674.9,0.95,0.281901,0.496254,NA,NA,NA,NA,NA,NA,NA
"ySigma[62] Edgemere",0.431973167386661,0.4291,0.424918973584093,995361.9,0.95,0.321665,0.545789,NA,NA,NA,NA,NA,NA,NA
"ySigma[63] Elmhurst",0.442604961183311,0.440996,0.438916548328691,994222.1,0.95,0.375998,0.511921,NA,NA,NA,NA,NA,NA,NA
"ySigma[64] Eltingville",0.446711119772042,0.443549,0.433473718599708,987341.5,0.95,0.336475,0.565153,NA,NA,NA,NA,NA,NA,NA
"ySigma[65] Emerson Hill",0.418207163874689,0.4155795,0.411254395725868,993866.2,0.95,0.306317,0.534578,NA,NA,NA,NA,NA,NA,NA
"ySigma[66] Far Rockaway",0.467875912592699,0.4644345,0.456768001183949,959004.2,0.95,0.357656,0.584139,NA,NA,NA,NA,NA,NA,NA
"ySigma[67] Fieldston",0.427838081754346,0.425066,0.419941161986489,992680.5,0.95,0.319114,0.543295,NA,NA,NA,NA,NA,NA,NA
"ySigma[68] Financial District",0.477373195933433,0.475837,0.472305192061498,976531.3,0.95,0.411079,0.545898,NA,NA,NA,NA,NA,NA,NA
"ySigma[69] Flatbush",0.394423263224894,0.393694,0.393298337598334,994922.1,0.95,0.353563,0.437129,NA,NA,NA,NA,NA,NA,NA
"ySigma[70] Flatiron District",0.424076776310789,0.4216975,0.416301316149548,1000008,0.95,0.336658,0.517376,NA,NA,NA,NA,NA,NA,NA
"ySigma[71] Flatlands",0.393213445858433,0.391061,0.387493432656941,981730.6,0.95,0.30407,0.485414,NA,NA,NA,NA,NA,NA,NA
"ySigma[72] Flushing",0.410301562859497,0.40934,0.407271945946124,1000144.2,0.95,0.360323,0.461267,NA,NA,NA,NA,NA,NA,NA
"ySigma[73] Fordham",0.465624507074943,0.462572,0.458821570411468,970637.8,0.95,0.363844,0.57405,NA,NA,NA,NA,NA,NA,NA
"ySigma[74] Forest Hills",0.462621178028576,0.4604,0.459133305508131,982980,0.95,0.3806,0.549457,NA,NA,NA,NA,NA,NA,NA
"ySigma[75] Fort Greene",0.409646652807778,0.408761,0.405948777318082,996665.4,0.95,0.362642,0.458789,NA,NA,NA,NA,NA,NA,NA
"ySigma[76] Fort Hamilton",0.390394958297334,0.388259,0.384013836100672,986378.7,0.95,0.298708,0.484434,NA,NA,NA,NA,NA,NA,NA
"ySigma[77] Fort Wadsworth",0.426645662257702,0.423927,0.41883562911486,991270.5,0.95,0.312942,0.545169,NA,NA,NA,NA,NA,NA,NA
"ySigma[78] Fresh Meadows",0.440095888679891,0.437287,0.430367472926673,991310.1,0.95,0.335702,0.549792,NA,NA,NA,NA,NA,NA,NA
"ySigma[79] Glendale",0.391804468868249,0.389585,0.387224159655235,980139.2,0.95,0.296456,0.492689,NA,NA,NA,NA,NA,NA,NA
"ySigma[80] Gowanus",0.436421009476924,0.434981,0.431309981706256,993349.2,0.95,0.372289,0.502329,NA,NA,NA,NA,NA,NA,NA
"ySigma[81] Gramercy",0.466210317099463,0.464611,0.460898586102925,989686.3,0.95,0.400104,0.535188,NA,NA,NA,NA,NA,NA,NA
"ySigma[82] Grant City",0.431324504845961,0.428483,0.427044735494448,995972,0.95,0.323645,0.545473,NA,NA,NA,NA,NA,NA,NA
"ySigma[83] Gravesend",0.403910523592811,0.401783,0.397448476365382,991203.8,0.95,0.319279,0.491862,NA,NA,NA,NA,NA,NA,NA
"ySigma[84] Great Kills",0.413466480392157,0.41103,0.407680785149336,989974.4,0.95,0.303421,0.528863,NA,NA,NA,NA,NA,NA,NA
"ySigma[85] Greenpoint",0.485690798686611,0.485158,0.483517689741992,979145.9,0.95,0.447364,0.524783,NA,NA,NA,NA,NA,NA,NA
"ySigma[86] Greenwich Village",0.458919977282182,0.457695,0.456286371765931,984543.1,0.95,0.400103,0.519938,NA,NA,NA,NA,NA,NA,NA
"ySigma[87] Grymes Hill",0.428044810224518,0.425212,0.417571021452324,995606.8,0.95,0.318931,0.54199,NA,NA,NA,NA,NA,NA,NA
"ySigma[88] Harlem",0.455280833449332,0.45507,0.455118542252688,989774.7,0.95,0.430503,0.480318,NA,NA,NA,NA,NA,NA,NA
